loan_id,customer_id,loan_status,application_time,current_loan_amount,term,tax_liens,purpose,no_of_properties,home_ownership,annual_income,years_in_current_job,months_since_last_delinquent,no_of_cars,no_of_children,credit_score,monthly_debt,years_of_credit_history,no_of_open_accounts,no_of_credit_problems,current_credit_balance,max_open_credit,bankruptcies,application_date,application_year,application_month,application_week,application_day,application_season,current_credit_balance_ratio
f122c3f1-08ef-439e-912a-449802deb2a1,000877d4-55ed-4126-abda-968f61da7b7f,1,2015-04-25 12:50:00,5072.0,0,0.0,0.7819976076555024,0.0,1.0,71612.92039867109,-1,34.75272558571097,2.4906058474831707,1.5016577916206169,1350.696131862289,941.2245734097077,18.48251432016883,11.02874083006733,0.14531202894181489,15439.198372022913,40776.35718592965,0.10573530894063099,2015-04-25,2015,4,17,25,2,0.0
e4deec6d-406f-4873-bbdf-46f252c0b92c,0008bc47-41f5-4e2b-b656-db39bc194a01,1,2015-04-25 11:34:00,12317.0,1,0.0,0.7819976076555024,0.0,1.0,71612.92039867109,-1,34.75272558571097,2.4906058474831707,1.5016577916206169,1350.696131862289,941.2245734097077,18.48251432016883,11.02874083006733,0.14531202894181489,15439.198372022913,40776.35718592965,0.10573530894063099,2015-04-25,2015,4,17,25,2,0.0
3818489f-f665-49ec-996d-0193be1f7bda,00133763-a161-422b-9ff8-429139fc54cc,1,2015-05-24 13:40:00,9125.0,0,0.0,0.7819976076555024,0.0,0.0,36306.0,-1,34.75272558571097,4.0,3.0,749.0,305.57,20.8,10.0,0.0,8646.0,26278.0,0.0,2015-05-24,2015,5,21,24,2,0.9475068493150685
2fa4ccec-90be-4b48-9322-679acf093f34,002b3527-ddfe-469c-80cf-af142d429386,1,2015-05-27 11:31:00,7994.0,0,0.0,0.7819976076555024,2.0,0.0,69951.0,6,34.75272558571097,2.0,3.0,727.0,1025.95,10.8,8.0,0.0,7246.0,13175.0,0.0,2015-05-27,2015,5,22,27,2,0.906429822366775
d9cb2ad7-907c-44cb-80ac-d502a6ccca1d,00321e24-7afe-41ed-86e0-8014e604021f,0,2015-05-02 12:55:00,17350.0,1,0.0,0.7819976076555024,0.0,0.0,48989.0,5,34.75272558571097,4.0,2.0,715.0,975.69,17.1,17.0,0.0,27330.0,42241.0,0.0,2015-05-02,2015,5,18,2,2,1.5752161383285304
0f95e110-f165-4667-8075-f5dc05bc7822,0043bed6-a9d6-4619-825e-a65f2e6882d6,1,2015-05-03 14:45:00,5394.0,0,0.0,0.7819976076555024,0.0,1.0,71612.92039867109,-1,34.75272558571097,2.4906058474831707,1.5016577916206169,1350.696131862289,941.2245734097077,18.48251432016883,11.02874083006733,0.14531202894181489,15439.198372022913,40776.35718592965,0.10573530894063099,2015-05-03,2015,5,18,3,2,0.0
624658c0-c6f7-45a2-84ec-9a1d9260048d,0064692f-e352-4384-80d4-c15975482ba5,0,2015-04-24 13:29:00,16614.0,1,0.0,0.7819976076555024,1.0,0.0,59811.0,-1,34.75272558571097,0.0,3.0,7360.0,718.23,33.4,9.0,0.0,7426.0,16501.0,0.0,2015-04-24,2015,4,17,24,2,0.4469724328879258
7d8dddd0-3c5a-4e37-a8b6-1d7f20f68397,00647781-a770-4ba8-8259-48473ffe2a56,0,2015-05-28 11:35:00,18392.0,1,0.0,0.7819976076555024,0.0,0.0,44959.0,1,34.75272558571097,3.0,3.0,7310.0,569.48,15.4,7.0,0.0,7085.0,11750.0,0.0,2015-05-28,2015,5,22,28,2,0.38522183558068723
20befb1e-e21b-49e4-9c61-f5a70a99eeef,006e3b2f-dfd4-4a50-bf1d-274bf8db5889,0,2015-05-05 14:10:00,11037.0,1,0.0,0.7819976076555024,3.0,1.0,71612.92039867109,7,33.0,2.0,2.0,1350.696131862289,1103.65,11.5,12.0,0.0,10456.0,22153.0,0.0,2015-05-05,2015,5,19,5,2,0.9473588837546435
1eae87a9-ff54-48d0-b4f6-2da4045cd7a7,00725f2b-51bd-4ca0-8fe3-4c26f52d00e2,1,2015-05-14 10:17:00,11392.0,1,0.0,0.7819976076555024,1.0,1.0,71612.92039867109,-1,34.75272558571097,2.4906058474831707,1.5016577916206169,1350.696131862289,941.2245734097077,18.48251432016883,11.02874083006733,0.14531202894181489,15439.198372022913,40776.35718592965,0.10573530894063099,2015-05-14,2015,5,20,14,2,0.0
